offense_code,summary_code,summary_offense_type,offense_category,before_2014
1,68,Truancy,Status,0
1,68,Truancy,Status,1
2,69,Runaway,Status,0
2,69,Runaway,Status,1
3,70,Curfew,Status,0
3,70,Curfew,Status,1
4,72,Other Stat Offenses,Status,0
4,72,Other Stat Offenses,Status,1
6,72,Other Stat Offenses,Status,0
6,72,Other Stat Offenses,Status,1
7,71,Incorrigible,Status,0
7,71,Incorrigible,Status,1
9,72,Other Stat Offenses,Status,0
9,72,Other Stat Offenses,Status,1
11,72,Other Stat Offenses,Status,0
11,72,Other Stat Offenses,Status,1
16,60,Highway,Misdemeanor,0
16,60,Highway,Misdemeanor,1
17,67,Probation/Parole,Other,0
17,67,Probation/Parole,Other,1
18,67,Probation/Parole,Other,0
18,67,Probation/Parole,Other,1
26,40,Lewd Conduct,Misdemeanor,0
26,40,Lewd Conduct,Misdemeanor,1
27,60,Fail to Register,Misdemeanor,0
27,60,Fail to Register,Misdemeanor,1
28,41,Prostitution,Misdemeanor,0
28,41,Prostitution,Misdemeanor,1
36,46,Disturbing the Peace,Misdemeanor,0
36,46,Disturbing the Peace,Misdemeanor,1
46,43,Drunk,Misdemeanor,0
46,43,Drunk,Misdemeanor,1
47,65,Civil Drunk,Other,0
47,65,Civil Drunk,Other,1
48,60,Other,Misdemeanor,0
48,60,Other,Misdemeanor,1
49,60,Other,Misdemeanor,0
49,60,Other,Misdemeanor,1
56,46,Disturbing the Peace,Misdemeanor,0
56,46,Disturbing the Peace,Misdemeanor,1
57,45,Disorderly Conduct,Misdemeanor,0
57,45,Disorderly Conduct,Misdemeanor,1
58,60,Public Nuisance,Misdemeanor,0
58,60,Public Nuisance,Misdemeanor,1
59,57,Glue Sniffing,Misdemeanor,0
59,57,Glue Sniffing,Misdemeanor,1
63,25,Malicious Mischief,Felony,0
63,25,Malicious Mischief,Felony,1
64,25,Malicious Mischief,Felony,0
64,25,Malicious Mischief,Felony,1
65,27,Outside Warrant,Other,0
65,27,Outside Warrant,Other,1
66,47,Vandalism,Misdemeanor,1
66,47,Vandalism,Misdemeanor,0
67,48,Malicious Mischief,Misdemeanor,0
67,48,Malicious Mischief,Misdemeanor,1
68,49,Trespassing,Misdemeanor,0
68,49,Trespassing,Misdemeanor,1
69,66,Outside Warrant Misd,Other,0
69,66,Outside Warrant Misd,Other,1
75,25,Gambling,Felony,0
75,25,Gambling,Felony,1
76,55,Gambling,Misdemeanor,0
76,55,Gambling,Misdemeanor,1
77,44,Liquor Laws,Misdemeanor,0
77,44,Liquor Laws,Misdemeanor,1
78,44,Liquor Laws,Misdemeanor,0
78,44,Liquor Laws,Misdemeanor,1
79,60,Contempt of Court,Misdemeanor,0
79,60,Contempt of Court,Misdemeanor,1
86,74,Misc Traffic,Other,0
86,74,Misc Traffic,Other,1
87,74,Misc Traffic,Other,0
87,74,Misc Traffic,Other,1
88,53,Traffic,Misdemeanor,0
88,53,Traffic,Misdemeanor,1
89,53,Traffic,Misdemeanor,0
89,53,Traffic,Misdemeanor,1
90,26,Federal Offense,Other,0
90,26,Federal Offense,Other,1
91,26,Federal Offense,Other,0
91,26,Federal Offense,Other,1
92,26,Federal Offense,Other,0
92,26,Federal Offense,Other,1
93,28,Probation/Parole Felony,Other,0
93,28,Probation/Parole Felony,Other,1
94,28,Probation/Parole Felony,Other,0
94,28,Probation/Parole Felony,Other,1
96,60,Other,Misdemeanor,0
96,60,Other,Misdemeanor,1
97,58,City/County Ordinance,Misdemeanor,0
97,58,City/County Ordinance,Misdemeanor,1
98,59,Failure to Appear/Non Traffic,Misdemeanor,0
98,59,Failure to Appear/Non Traffic,Misdemeanor,1
99,60,Other,Misdemeanor,0
99,60,Other,Misdemeanor,1
100,1,Homicide,Felony,0
100,1,Homicide,Felony,1
103,1,Homicide,Felony,0
103,1,Homicide,Felony,1
110,1,Homicide,Felony,0
110,1,Homicide,Felony,1
120,1,Homicide,Felony,0
120,1,Homicide,Felony,1
121,1,Homicide,Felony,0
121,1,Homicide,Felony,1
150,2,Manslaughter,Felony,0
150,2,Manslaughter,Felony,1
151,2,Manslaughter,Felony,0
151,2,Manslaughter,Felony,1
155,2,Manslaughter,Felony,0
155,2,Manslaughter,Felony,1
160,3,"Manslaughter, Vehicle",Felony,0
160,3,"Manslaughter, Vehicle",Felony,1
166,29,Vehicle Manslaughter,Misdemeanor,0
166,29,Vehicle Manslaughter,Misdemeanor,1
200,5,Robbery,Felony,0
200,5,Robbery,Felony,1
210,5,Robbery,Felony,0
210,5,Robbery,Felony,1
220,5,Robbery,Felony,0
220,5,Robbery,Felony,1
230,5,Robbery,Felony,0
230,5,Robbery,Felony,1
240,5,Robbery,Felony,1
250,5,Robbery,Felony,0
250,5,Robbery,Felony,1
300,6,Assault,Felony,0
300,6,Assault,Felony,1
310,6,Assault,Felony,0
310,6,Assault,Felony,1
320,6,Assault,Felony,0
320,6,Assault,Felony,1
321,6,Assault,Felony,0
321,6,Assault,Felony,1
323,6,Assault,Felony,0
323,6,Assault,Felony,1
330,6,Assault,Felony,0
330,6,Assault,Felony,1
341,6,Assault,Felony,0
341,6,Assault,Felony,1
342,6,Assault,Felony,0
342,6,Assault,Felony,1
343,6,Assault,Felony,0
343,6,Assault,Felony,1
344,6,Assault,Felony,0
344,6,Assault,Felony,1
345,6,Assault,Felony,0
345,6,Assault,Felony,1
346,30,Assault and Battery,Misdemeanor,0
346,30,Assault and Battery,Misdemeanor,1
350,6,Assault,Felony,0
350,6,Assault,Felony,1
351,6,Assault,Felony,0
351,6,Assault,Felony,1
352,6,Assault,Felony,0
352,6,Assault,Felony,1
353,6,Assault,Felony,0
353,6,Assault,Felony,1
360,6,Assault,Felony,0
360,6,Assault,Felony,1
361,6,Assault,Felony,0
361,6,Assault,Felony,1
362,6,Assault,Felony,0
362,6,Assault,Felony,1
363,6,Assault,Felony,0
363,6,Assault,Felony,1
364,6,Assault,Felony,0
364,6,Assault,Felony,1
365,6,Assault,Felony,0
365,6,Assault,Felony,1
366,30,Assault and Battery,Misdemeanor,0
366,30,Assault and Battery,Misdemeanor,1
370,6,Assault,Felony,0
370,6,Assault,Felony,1
371,6,Assault,Felony,0
371,6,Assault,Felony,1
372,6,Assault,Felony,0
372,6,Assault,Felony,1
373,6,Assault,Felony,0
373,6,Assault,Felony,1
376,30,Assault and Battery,Misdemeanor,0
376,30,Assault and Battery,Misdemeanor,1
377,30,Assault and Battery,Misdemeanor,0
377,30,Assault and Battery,Misdemeanor,1
380,6,Assault,Felony,0
380,6,Assault,Felony,1
381,6,Assault,Felony,0
381,6,Assault,Felony,1
382,6,Assault,Felony,0
382,6,Assault,Felony,1
383,6,Assault,Felony,0
383,6,Assault,Felony,1
384,6,Assault,Felony,0
384,6,Assault,Felony,1
