District,Representative,Party,Prior experience,Education,Assumed office,Residence,Born
California 25,"Knight, SteveSteve Knight",,Republican,"California State Senate, California State Assembly, Palmdale City Council",Antelope Valley College,2015,Palmdale,1966
California 26,"Brownley, JuliaJulia Brownley",,Democratic,California State Assembly,"George Washington University
 American University",2013,Oak Park,1952
California 27,"Chu, JudyJudy Chu",,Democratic,"Mayor of Monterey Park, Monterey Park City Council, California State Assembly, California State Board of Equalization","University of California, Los Angeles",2009*,Monterey Park,1953
California 28,"Schiff, AdamAdam Schiff",,Democratic,"California State Senate, Assistant Prosecutor for the United States Attorney for the Southern District of California","Stanford University
 Harvard University",2001,Burbank,1960
California 29,"Cárdenas, TonyTony Cárdenas",,Democratic,Los Angeles City Council,"University of California, Santa Barbara",2013,San Fernando Valley,1963
California 30,"Sherman, BradBrad Sherman",,Democratic,California Board of Equalization,"University of California, Los Angeles
 Harvard Law School",1997,Sherman Oaks,1954
California 31,"Aguilar, PetePete Aguilar",,Democratic,Mayor of Redlands,University of Redlands,2015,Fontana,1979
California 32,"Napolitano, GraceGrace Napolitano",,Democratic,California State Assembly,Texas Southmost College,1999,Norwalk,1936
California 33,"Lieu, TedTed Lieu",,Democratic,"California State Senate, California State Assembly","Stanford University
 Georgetown University",2015,Torrance,1969
California 34,"Gomez, JimmyJimmy Gomez",,Democratic,California State Assembly,"UCLA
 Harvard University",2017*,Los Angeles,1974
California 35,"Torres, NormaNorma Torres",,Democratic,"California State Senate, California State Assembly, Mayor of Pomona",National Labor College,2015,Pomona,1965
California 36,"Ruiz, RaulRaul Ruiz",,Democratic,Emergency physician,"University of California, Los Angeles
 Harvard University",2013,Palm Desert,1972
California 37,"Bass, KarenKaren Bass",,Democratic,Speaker of the California State Assembly,"California State University, Dominguez Hills",2011,Baldwin Hills,1953
California 38,"Sánchez, LindaLinda Sánchez",,Democratic,Attorney,"University of California, Berkeley
 University of California, Los Angeles",2003,Orange,1969
California 39,"Royce, EdEd Royce",,Republican,California State Senate,"California State University, Fullerton",1993,Fullerton,1951
California 40,"Roybal-Allard, LucilleLucille Roybal-Allard",,Democratic,public relations executive,"California State University, Los Angeles",1993,Downey,1941
California 41,"Takano, MarkMark Takano",,Democratic,Teacher,Harvard University,2013,Riverside,1960
California 42,"Calvert, KenKen Calvert",,Republican,Real Estate Executive,"Chaffey College
 San Diego State University",1993,Corona,1953
California 43,"Waters, MaxineMaxine Waters",,Democratic,California State Assembly,"California State University, Los Angeles",1991,Inglewood,1938
California 44,"Barragán, NanetteNanette Barragán",,Democratic,Hermosa Beach City Council,"University of California, Los Angeles, University of Southern California",2017,San Pedro,1976
California 45,"Walters, MimiMimi Walters",,Republican,"California State Senate, California State Assembly, Mayor of Laguna Niguel","University of California, Los Angeles",2015,Laguna Niguel,1962
California 46,"Correa, LouLou Correa",,Democratic,"California State Senate, Orange County Board of Supervisors, California State Assembly","University of California, Los Angeles
 California State University, Fullerton",2017,Santa Ana,1958
California 47,"Lowenthal, AlanAlan Lowenthal",,Democratic,"California State Senate, California State Assembly","Ohio State University|
 Hobart College",2013,Long Beach,1941
California 48,"Rohrabacher, DanaDana Rohrabacher",,Republican,Special assistant to President Reagan,"California State University, Long Beach
 University of Southern California",1989,Costa Mesa,1947
California 49,"Issa, DarrellDarrell Issa",,Republican,Electronics executive,Kent State University,2001,Vista,1953
California 50,"Hunter, Duncan D.Duncan D. Hunter",,Republican,"Military officer, businessman",San Diego State University,2009,Lakeside,1976
California 51,"Vargas, JuanJuan Vargas",,Democratic,"California State Senate, California State Assembly, San Diego City Council","Harvard Law School
 Fordham University
 University of San Diego",2013,Golden Hill,1961
California 52,"Peters, ScottScott Peters",,Democratic,"San Diego City Council, San Diego Port Commission","Duke University
 New York University School of Law",2013,La Jolla,1958
California 53,"Davis, SusanSusan Davis",,Democratic,"California State Assembly, San Diego School Board","University of California, Berkeley
 University of North Carolina at Chapel Hill",2001,San Diego,1944
Colorado 1,"DeGette, DianaDiana DeGette",,Democratic,Colorado House of Representatives,Colorado College,1997,Denver,1957
Colorado 2,"Polis, JaredJared Polis",,Democratic,"Colorado State Board of Education, Internet Executive",Princeton University,2009,Boulder,1975
Colorado 3,"Tipton, ScottScott Tipton",,Republican,Colorado House of Representatives,Fort Lewis College,2011,Cortez,1956
Colorado 4,"Buck, KenKen Buck",,Republican,"Weld County District Attorney, Prosecutor U.S. Attorney's Office","Princeton University
 University of Wyoming",2015,Greeley,1959
Colorado 5,"Lamborn, DougDoug Lamborn",,Republican,"President pro tempore of the Colorado Senate, Colorado House of Representatives",University of Kansas,2007,Colorado Springs,1954
Colorado 6,"Coffman, MikeMike Coffman",,Republican,"Secretary of State of Colorado, Colorado State Treasurer, Colorado Senate, Colorado House of Representatives",University of Colorado,2009,Aurora,1955
Colorado 7,"Perlmutter, EdEd Perlmutter",,Democratic,Colorado Senate,University of Colorado,2007,Lakewood,1953
Connecticut 1,"Larson, John B.John B. Larson",,Democratic,"Connecticut Senate, East Hartford, Connecticut City Council, East Hartford, Connecticut Board of Education",Central Connecticut State University,1999,East Hartford,1948
Connecticut 2,"Courtney, JoeJoe Courtney",,Democratic,Connecticut House of Representatives,Tufts University,2007,Vernon,1953
Connecticut 3,"DeLauro, RosaRosa DeLauro",,Democratic,"Executive Director of EMILY's List, Political aide",Marymount College,1991,New Haven,1943
Connecticut 4,"Himes, JimJim Himes",,Democratic,"Financial executive, Greenwich Housing Authority Board","Harvard University
 University of Oxford",2009,Cos Cob,1966
Connecticut 5,"Esty, ElizabethElizabeth Esty",,Democratic,Connecticut House of Representatives,"Harvard University
 Yale University",2013,Cheshire,1959
Delaware At Large,"Blunt Rochester, LisaLisa Blunt Rochester",,Democratic,"Delaware Labor Secretary, Delaware Personnel Director","Fairleigh Dickinson University
 University of Delaware",2017,Wilmington,1962
Florida 1,"Gaetz, MattMatt Gaetz",,Republican,Florida House of Representatives,"Florida State University
 College of William & Mary",2017,Fort Walton Beach,1982
Florida 2,"Dunn, NealNeal Dunn",,Republican,Surgeon,"Washington & Lee University
 George Washington University School of Medicine & Health Sciences",2017,Panama City,1953
Florida 3,"Yoho, TedTed Yoho",,Republican,Veterinarian,University of Florida,2013,Gainesville,1955
Florida 4,"Rutherford, JohnJohn Rutherford",,Republican,Sheriff of Jacksonville,"Florida State University
 FBI Academy",2017,Jacksonville,1952
Florida 5,"Lawson, AlAl Lawson",,Democratic,Florida Senate,Florida A&M University,2017,Tallahassee,1948
Florida 6,"DeSantis, RonRon DeSantis",,Republican,"Prosecutor U.S. Attorney's Office, U.S. Navy","Yale University
 Harvard Law School",2013,Palm Beach,1978
Florida 7,"Murphy, StephanieStephanie Murphy",,Democratic,"Advisor, educator","College of William & Mary
 Georgetown University",2017,Winter Park,1978
Florida 8,"Posey, BillBill Posey",,Republican,"Florida Senate, Florida House of Representatives, Rockledge, Florida City Council",Nova Southeastern University,2009,Rockledge,1947
Florida 9,"Soto, DarrenDarren Soto",,Democratic,"Florida Senate, Florida House of Representatives","Rutgers University
 George Washington University",2017,Orlando,1978
Florida 10,"Demings, ValVal Demings",,Democratic,Chief of the Orlando Police Department,Florida State University,2017,Orlando,1957
Florida 11,"Webster, DanielDaniel Webster",,Republican,Florida SenateSpeaker of Florida House of Representatives,Georgia Institute of Technology,2011,Winter Garden,1949
Florida 12,"Bilirakis, GusGus Bilirakis",,Republican,Florida House of Representatives,"University of Florida
 Stetson University College of Law",2007,Palm Harbor,1963
Florida 13,"Crist, CharlieCharlie Crist",,Democratic,"Governor of Florida, Attorney General of Florida, Education Commissioner of Florida, Florida Senate","Wake Forest University
 Florida State University
 Samford University",2017,St. Petersburg,1956
Florida 14,"Castor, KathyKathy Castor",,Democratic,"Assistant General Counsel to the Florida Department of Community Affairs, President of the Florida Association of Women Lawyers, Hillsborough County, Florida Board of Commissioners",Emory University,2007,Tampa,1966
Florida 15,"Ross, DennisDennis Ross",,Republican,Florida House of Representatives,"Auburn University
 Cumberland School of Law",2011,Lakeland,1959
Florida 16,"Buchanan, VernVern Buchanan",,Republican,Auto Dealer,Cleary University,2007,Longboat Key,1951
