District,Representative,Party,Prior experience,Education,Assumed office,Residence,Born
Massachusetts 3,"Tsongas, NikiNiki Tsongas",,Democratic,Dean of External Affairs at Middlesex Community College,"Smith College
 Boston University",2007*,Lowell,1946
Massachusetts 4,"Kennedy, JoeJoe Kennedy",,Democratic,"Prosecutor, assistant district attorney","Stanford University
 Harvard University",2013,Brookline,1980
Massachusetts 5,"Clark, KatherineKatherine Clark",,Democratic,"Massachusetts Senate, Massachusetts House of Representatives, Attorney","St. Lawrence University
 Cornell University
 Harvard University",2013*,Melrose,1963
Massachusetts 6,"Moulton, SethSeth Moulton",,Democratic,"Businessman, Activist, U.S. Marine Corps Captain",Harvard University,2015,Salem,1978
Massachusetts 7,"Capuano, MikeMike Capuano",,Democratic,Mayor of Somerville,"Dartmouth College
 Boston College Law School",1999,Somerville,1952
Massachusetts 8,"Lynch, Stephen F.Stephen F. Lynch",,Democratic,"Massachusetts Senate, Massachusetts House of Representatives","Wentworth Institute of Technology
 Boston College Law School",2001*,Boston,1955
Massachusetts 9,"Keating, BillBill Keating",,Democratic,"Massachusetts House of Representatives, Massachusetts Senate, Norfolk County District Attorney","Boston College
 Suffolk University Law School",2011,Bourne,1952
Michigan 1,"Bergman, JackJack Bergman",,Republican,U.S. Marine Corps Lieutenant General,"Gustavus Adolphus College
 University of West Florida
 Command and General Staff College
 Syracuse University",2017,Watersmeet,1947
Michigan 2,"Huizenga, BillBill Huizenga",,Republican,Michigan House of Representatives,Calvin College,2011,Zeeland,1969
Michigan 3,"Amash, JustinJustin Amash",,Republican,Michigan House of Representatives,"University of Michigan
 University of Michigan Law School",2011,Cascade Township,1980
Michigan 4,"Moolenaar, JohnJohn Moolenaar",,Republican,"Michigan Senate, Michigan House of Representatives","Hope College
 Harvard University",2015,Midland,1961
Michigan 5,"Kildee, DanDan Kildee",,Democratic,Genessee County Treasurer,Central Michigan University,2013,Flint Township,1958
Michigan 6,"Upton, FredFred Upton",,Republican,U.S. government administrator,University of Michigan,1987,St. Joseph,1953
Michigan 7,"Walberg, TimTim Walberg",,Republican,"U.S. House, Michigan House of Representatives","Taylor University
 Wheaton College",2011,Tipton,1951
Michigan 8,"Bishop, MikeMike Bishop",,Republican,"Michigan Senate Majority Leader, Michigan House of Representatives","University of Michigan
 Detroit College of Law",2015,Rochester Hills,1967
Michigan 9,"Levin, SanderSander Levin",,Democratic,"Michigan Senate, U.S. Government administrator","University of Chicago
 Columbia University
 Harvard Law School",1983,Royal Oak,1931
Michigan 10,"Mitchell, PaulPaul Mitchell",,Republican,Businessman,Michigan State University,2017,Dryden Township,1961
Michigan 11,"Trott, DavidDavid Trott",,Republican,Lawyer,"University of Michigan
 Duke University School of Law",2015,Birmingham,1960
Michigan 12,"Dingell, DebbieDebbie Dingell",,Democratic,"Lobbyist, Wife of John Dingell",Georgetown University,2015,Dearborn,1953
Michigan 13,Vacant,,,,,,,
Michigan 14,"Lawrence, BrendaBrenda Lawrence",,Democratic,Mayor of Southfield,Central Michigan University,2015,Southfield,1954
Minnesota 1,"Walz, TimTim Walz",,Democratic,"Army National Guard Command Sergeant Major, teacher",Chadron State College,2007,Mankato,1964
Minnesota 2,"Lewis, JasonJason Lewis",,Republican,Radio show host,"University of Colorado at Denver
 University of Northern Iowa",2017,Woodbury,1955
Minnesota 3,"Paulsen, ErikErik Paulsen",,Republican,Majority Leader of the Minnesota House of Representatives,St. Olaf College,2009,Eden Prairie,1965
Minnesota 4,"McCollum, BettyBetty McCollum",,Democratic,"North St. Paul City Council, Minnesota House of Representatives",College of St. Catherine,2001,Saint Paul,1954
Minnesota 5,"Ellison, KeithKeith Ellison",,Democratic,Minnesota House of Representatives,"Wayne State University
 University of Minnesota Law School",2007,Minneapolis,1963
Minnesota 6,"Emmer, TomTom Emmer",,Republican,Minnesota House of Representatives,"University of Alaska Fairbanks
 William Mitchell College of Law",2015,Delano,1961
Minnesota 7,"Peterson, CollinCollin Peterson",,Democratic,"Certified Public Accountant, Minnesota Senate",Moorhead State University,1991,Moorhead,1944
Minnesota 8,"Nolan, RickRick Nolan",,Democratic,"Minnesota House of Representatives, U.S. House, businessman","St. John's University
 University of Minnesota
 University of Maryland
 St. Cloud State University",2013,Crosby,1943
Mississippi 1,"Kelly, TrentTrent Kelly",,Republican,"District attorney, Tupelo, city prosecutor, Army National Guard Colonel","University of Mississippi
 U.S. Army War College",2015*,Saltillo,1966
Mississippi 2,"Thompson, BennieBennie Thompson",,Democratic,"alderman, mayor of Bolton, Hinds County Board of Supervisors","Tougaloo College
 Jackson State University",1993*,Bolton,1948
Mississippi 3,"Harper, GreggGregg Harper",,Republican,"Attorney, Rankin County Party Chairman","Mississippi College
 University of Mississippi",2009,Brandon,1956
Mississippi 4,"Palazzo, StevenSteven Palazzo",,Republican,Mississippi House of Representatives,University of Southern Mississippi,2011,Gulfport,1970
Missouri 1,"Clay, WilliamWilliam Clay",,Democratic,"Missouri Senate, Missouri House of Representatives","University of Maryland
 Harvard University",2001,St. Louis,1956
Missouri 2,"Wagner, AnnAnn Wagner",,Republican,U.S. Ambassador to Luxembourg,University of Missouri,2013,Ballwin,1962
Missouri 3,"Luetkemeyer, BlaineBlaine Luetkemeyer",,Republican,"Missouri House of Representatives, State Tourism Director",Lincoln University,2009,St. Elizabeth,1952
Missouri 4,"Hartzler, VickyVicky Hartzler",,Republican,Missouri House of Representatives,"University of Missouri
 Central Missouri State University",2011,Harrisonville,1960
Missouri 5,"Cleaver, EmanuelEmanuel Cleaver",,Democratic,"Mayor of Kansas City, pastor, radio show host","Prairie View A&M University
 St. Paul School of Theology",2005,Kansas City,1944
Missouri 6,"Graves, SamSam Graves",,Republican,Missouri Senate,University of Missouri,2001,Tarkio,1963
Missouri 7,"Long, BillyBilly Long",,Republican,auctioneer,National Auctioneers Association Education Institute,2011,Springfield,1955
Missouri 8,"Smith, Jason T.Jason T. Smith",,Republican,Missouri House of Representatives,University of Missouri,2013*,Salem,1980
Montana At Large,"Gianforte, GregGreg Gianforte",,Republican,business owner,Stevens Institute of Technology,2017*,Bozeman,1961
Nebraska 1,"Fortenberry, JeffJeff Fortenberry",,Republican,"Lincoln city council, businessman","Louisiana State University
 Georgetown University
 Franciscan University of Steubenville",2005,Lincoln,1960
Nebraska 2,"Bacon, DonDon Bacon",,Republican,U.S. Air Force Brigadier General,Northern Illinois University,2017,Papillion,1963
Nebraska 3,"Smith, AdrianAdrian Smith",,Republican,"Gering City Council, Nebraska Legislature",University of Nebraska,2007,Gering,1970
Nevada 1,"Titus, DinaDina Titus",,Democratic,"U.S. House, Nevada Senate","College of William & Mary
 University of Georgia
 Florida State University",2013,Las Vegas,1950
Nevada 2,"Amodei, MarkMark Amodei",,Republican,"Nevada Senate, Nevada Assembly","University of Nevada, Reno
 University of the Pacific",2011*,Las Vegas,1958
Nevada 3,"Rosen, JackyJacky Rosen",,Democratic,software developer,University of Minnesota,2017,Henderson,1957
Nevada 4,"Kihuen, RubenRuben Kihuen",,Democratic,"Nevada Assembly, Nevada Senate","University of Nevada, Las Vegas",2017,Las Vegas,1980
New Hampshire 1,"Shea-Porter, CarolCarol Shea-Porter",,Democratic,U.S. House,University of New Hampshire,2017,Rochester,1952
New Hampshire 2,"McLane Kuster, AnnAnn McLane Kuster",,Democratic,"Attorney, lobbyist","Dartmouth College
 Georgetown University Law Center",2013,Hopkinton,1956
New Jersey 1,"Norcross, DonaldDonald Norcross",,Democratic,"New Jersey Senate, New Jersey General Assembly",Camden County College,2014*,Camden,1958
New Jersey 2,"LoBiondo, FrankFrank LoBiondo",,Republican,New Jersey General Assembly,St. Joseph's University,1995,Bridgeton,1946
New Jersey 3,"MacArthur, TomTom MacArthur",,Republican,Mayor of Randolph,Hofstra University,2015,Toms River,1960
New Jersey 4,"Smith, ChrisChris Smith",,Republican,Retail executive,Trenton State College,1981,Hamilton Township,1953
New Jersey 5,"Gottheimer, JoshJosh Gottheimer",,Democratic,"Lawyer, political aide","University of Pennsylvania
 Harvard Law School",2017,Wyckoff,1975
New Jersey 6,"Pallone, FrankFrank Pallone",,Democratic,"Long Branch city council, New Jersey Senate","Middlebury College
 Tufts University
 Rutgers University",1988*,New Brunswick,1951
New Jersey 7,"Lance, LeonardLeonard Lance",,Republican,"New Jersey Senate, New Jersey General Assembly","Lehigh University
 Vanderbilt University
 Princeton University",2009,Clinton Township,1952
New Jersey 8,"Sires, AlbioAlbio Sires",,Democratic,"Mayor of West New York, Speaker of the New Jersey General Assembly","Saint Peter's College
 Middlebury College",2006*,West New York,1951
New Jersey 9,"Pascrell, BillBill Pascrell",,Democratic,"New Jersey General Assembly, Mayor of Paterson",Fordham University,1997,Paterson,1937
New Jersey 10,"Payne, Jr., DonaldDonald Payne, Jr.",,Democratic,"Newark Municipal Council, Essex County Freeholder",Kean University,2012*,Newark,1958
New Jersey 11,"Frelinghuysen, RodneyRodney Frelinghuysen",,Republican,New Jersey General Assembly,Hobart College,1995,Harding Township,1946
New Jersey 12,"Watson Coleman, BonnieBonnie Watson Coleman",,Democratic,New Jersey General Assembly Majority Leader,Thomas Edison State College,2015,Ewing Township,1945
New Mexico 1,"Lujan Grisham, MichelleMichelle Lujan Grisham",,Democratic,"Bernalillo County Commissioner, New Mexico Secretary of Health, Director of New Mexico Agency on Aging","University of New Mexico
 University of New Mexico School of Law",2013,Albuquerque,1959
New Mexico 2,"Pearce, SteveSteve Pearce",,Republican,"U.S. House, New Mexico House of Representatives","New Mexico State University
 Eastern New Mexico University",2011,Hobbs,1947
New Mexico 3,"Luján, BenBen Luján",,Democratic,New Mexico Public Regulation Commissioner,New Mexico Highlands University,2009,Santa Fe,1972
New York 1,"Zeldin, LeeLee Zeldin",,Republican,New York Senate,"University at Albany, SUNY
 Albany Law School",2015,Shirley,1980
New York 2,"King, PeterPeter King",,Republican,"Hempstead Town Council, Nassau County Comptroller","St. Francis College
 University of Notre Dame",1993,Seaford,1944
New York 3,"Suozzi, ThomasThomas Suozzi",,Democratic,"County Executive of Nassau County, Mayor of Glen Cove, New York","Boston College
 Fordham University School of Law",2017,Glen Cove,1962
New York 4,"Rice, KathleenKathleen Rice",,Democratic,Nassau County District Attorney,"Catholic University
 Touro Law Center",2015,Garden City,1965
New York 5,"Meeks, GregoryGregory Meeks",,Democratic,New York State Assembly,"Adelphi University
 Howard University",1998*,Jamaica,1953
New York 6,"Meng, GraceGrace Meng",,Democratic,New York State Assembly,"University of Michigan
 Benjamin N. Cardozo School of Law",2013,Flushing,1975
New York 7,"Velázquez, NydiaNydia Velázquez",,Democratic,"Director, Dept. of Puerto Rican Community Affairs","University of Puerto Rico
 New York University",1993,Sunset Park,1953
New York 8,"Jeffries, HakeemHakeem Jeffries",,Democratic,New York State Assembly,"New York University School of Law
 Georgetown University
 Binghamton University",2013,Prospect Heights,1970
New York 9,"Clarke, YvetteYvette Clarke",,Democratic,New York City Council,Oberlin College,2007,Flatbush,1964
New York 10,"Nadler, JerroldJerrold Nadler",,Democratic,New York State Assembly,"Columbia University
 Fordham University",1992*,Chelsea,1947
New York 11,"Donovan, DanielDaniel Donovan",,Republican,Richmond County District Attorney,"St. John's University
 Fordham University",2015*,Great Kills,1956
New York 12,"Maloney, CarolynCarolyn Maloney",,Democratic,New York City Council,Greensboro College,1993,East Harlem,1946
New York 13,"Espaillat, AdrianoAdriano Espaillat",,Democratic,"New York State Senate, New York State Assembly",Queens College,2017,Inwood,1954
New York 14,"Crowley, JosephJoseph Crowley",,Democratic,New York State Assembly,Queens College,1999,Throggs Neck,1962
New York 15,"Serrano, JoséJosé Serrano",,Democratic,New York State Assembly,Lehman College,1990*,Concourse,1943
New York 16,"Engel, EliotEliot Engel",,Democratic,"high school teacher, New York State Assembly","Lehman College
 New York Law School",1989,Riverdale,1947
New York 17,"Lowey, NitaNita Lowey",,Democratic,New York Assistant Secretary of State,Mount Holyoke College,1989,Harrison,1937
New York 18,"Maloney, Sean PatrickSean Patrick Maloney",,Democratic,Attorney,University of Virginia,2013,Carmel,1966
New York 19,"Faso, JohnJohn Faso",,Republican,New York State Assembly,"State University of New York at Brockport
 Georgetown University",2017,Kinderhook,1952
New York 20,"Tonko, PaulPaul Tonko",,Democratic,New York State Assembly,Clarkson University,2009,Amsterdam,1949
New York 21,"Stefanik, EliseElise Stefanik",,Republican,"Civil servant, Political activist",Harvard University,2015,Willsboro,1984
New York 22,"Tenney, ClaudiaClaudia Tenney",,Republican,New York State Assembly,"Colgate University
 University of Cincinnati College of Law",2017,New Hartford,1961
New York 23,"Reed, TomTom Reed",,Republican,Mayor of Corning,"Alfred University
 Ohio Northern University, Pettit College of Law",2010*,Corning,1971
New York 24,"Katko, JohnJohn Katko",,Republican,"Attorney, Prosecutor U.S. Attorney's Office","Niagara University
 Syracuse University College of Law",2015,Camillus,1962
New York 25,"Slaughter, LouiseLouise Slaughter",,Democratic,"Monroe County Legislature, New York State Assembly",University of Kentucky,1987,Fairport,1929
New York 26,"Higgins, BrianBrian Higgins",,Democratic,"Buffalo Common Council, New York State Assembly","University at Buffalo
 Harvard University",2005,Buffalo,1959
New York 27,"Collins, ChrisChris Collins",,Republican,Erie County Executive,"North Carolina State University
 University of Alabama at Birmingham",2013,Clarence,1950
North Carolina 1,"Butterfield, G. K.G. K. Butterfield",,Democratic,North Carolina Supreme Court Justice,North Carolina Central University,2004*,Wilson,1947
North Carolina 2,"Holding, GeorgeGeorge Holding",,Republican,U.S. Attorney for Eastern North Carolina,"Wake Forest University
 Wake Forest University School of Law",2013,Raleigh,1968
North Carolina 3,"Jones, WalterWalter Jones",,Republican,North Carolina House of Representatives,Atlantic Christian College,1995,Farmville,1943
North Carolina 4,"Price, DavidDavid Price",,Democratic,college professor,"Mars Hill College
 University of North Carolina at Chapel Hill
 Yale University",1997,Chapel Hill,1940
North Carolina 5,"Foxx, VirginiaVirginia Foxx",,Republican,North Carolina Senate,"University of North Carolina at Chapel Hill
 University of North Carolina at Greensboro",2005,Banner Elk,1943
North Carolina 6,"Walker, MarkMark Walker",,Republican,Southern Baptist pastor,Piedmont International University,2015,Greensboro,1969
North Carolina 7,"Rouzer, DavidDavid Rouzer",,Republican,North Carolina Senate,North Carolina State University,2015,McGee Crossroads,1972
North Carolina 8,"Hudson, RichardRichard Hudson",,Republican,Businessman,University of North Carolina at Charlotte,2013,Concord,1971
North Carolina 9,"Pittenger, RobertRobert Pittenger",,Republican,North Carolina Senate,University of Texas,2013,Charlotte,1948
North Carolina 10,"McHenry, PatrickPatrick McHenry",,Republican,North Carolina House of Representatives,"North Carolina State University
 Belmont Abbey College",2005,Cherryville,1975
North Carolina 11,"Meadows, MarkMark Meadows",,Republican,Businessman,University of South Florida,2013,Cashiers,1959
North Carolina 12,"Adams, AlmaAlma Adams",,Democratic,North Carolina House of Representatives,"North Carolina A&T State University
 Ohio State University",2014*,Charlotte,1946
North Carolina 13,"Budd, TedTed Budd",,Republican,Businessman,"Wake Forest University
 Appalachian State University",2017,Advance,1971
North Dakota At Large,"Cramer, KevinKevin Cramer",,Republican,North Dakota Public Service Commissioner,"Concordia College
 University of Mary",2013,Bismark,1961
Ohio 1,"Chabot, SteveSteve Chabot",,Republican,"Cincinnati City Council, Hamilton County Commissioner, U.S. House","College of William & Mary
 Northern Kentucky University",2011,Cincinnati,1953
Ohio 2,"Wenstrup, BradBrad Wenstrup",,Republican,Physician,University of Cincinnati,2013,Cincinnati,1958
Ohio 3,"Beatty, JoyceJoyce Beatty",,Democratic,Ohio House of Representatives,"Central State University
 Wright State University
 University of Cincinnati",2013,Columbus,1950
Ohio 4,"Jordan, JimJim Jordan",,Republican,"Ohio Senate, Ohio House of Representatives",University of Wisconsin–Madison,2007,Lima,1964
Ohio 5,"Latta, BobBob Latta",,Republican,"Wood County Commissioner, Ohio House of Representatives, Ohio Senate","Bowling Green State University
 University of Toledo",2007,Bowling Green,1956
Ohio 6,"Johnson, BillBill Johnson",,Republican,United States Air Force,Troy University,2011,Marietta,1954
Ohio 7,"Gibbs, BobBob Gibbs",,Republican,"Ohio Senate, Ohio House of Representatives",Ohio State University Agricultural Technical Institute,2011,"Washington Township, Holmes County",1954
Ohio 8,"Davidson, WarrenWarren Davidson",,Republican,Businessman,"United States Military Academy
 University of Notre Dame",2016*,Troy,1970
Ohio 9,"Kaptur, MarcyMarcy Kaptur",,Democratic,"Domestic Policy Advisor, Carter Adm.","University of Wisconsin
 University of Michigan
 Massachusetts Institute of Technology",1983,Toledo,1946
Ohio 10,"Turner, MikeMike Turner",,Republican,Mayor of Dayton,"Ohio Northern University
 Case Western Reserve University
 University of Dayton",2003,Dayton,1960
Ohio 11,"Fudge, MarciaMarcia Fudge",,Democratic,Mayor of Warrensville Heights,"Ohio State University
 Cleveland-Marshall College of Law",2008*,Cleveland,1952
Ohio 12,"Tiberi, PatPat Tiberi",,Republican,Ohio House of Representatives,"Ohio State University
 Capital University",2001,Mansfield,1962
Ohio 13,"Ryan, TimTim Ryan",,Democratic,Ohio Senate,"Bowling Green State University
 University of New Hampshire School of Law",2003,Niles,1973
Ohio 14,"Joyce, DavidDavid Joyce",,Republican,Geauga County Prosecutor,University of Dayton,2013,Richmond Heights,1957
Ohio 15,"Stivers, SteveSteve Stivers",,Republican,Ohio Senate,Ohio State University,2011,Columbus,1965
Ohio 16,"Renacci, JimJim Renacci",,Republican,"businessman, Mayor of Wadsworth",Indiana University of Pennsylvania,2011,Wadsworth,1958
Oklahoma 1,"Bridenstine, JimJim Bridenstine",,Republican,Museum director,"Rice University
 Samuel Curtis Johnson Graduate School of Management",2013,Tulsa,1975
Oklahoma 2,"Mullin, MarkwayneMarkwayne Mullin",,Republican,Businessman,Missouri Valley College,2013,Westville,1977
Oklahoma 3,"Lucas, FrankFrank Lucas",,Republican,Oklahoma House of Representatives,Oklahoma State University,1994*,Enid,1960
Oklahoma 4,"Cole, TomTom Cole",,Republican,"Oklahoma Senate, Oklahoma Secretary of State, college professor","Grinnell College
 Yale University
 University of Oklahoma",2003,Moore,1949
Oklahoma 5,"Russell, SteveSteve Russell",,Republican,"Oklahoma Senate, U. S. Army Lieutenant Colonel",Ouachita Baptist University,2015,Oklahoma City,1963
Oregon 1,"Bonamici, SuzanneSuzanne Bonamici",,Democratic,"Oregon House of Representatives, Oregon State Senate","Lane Community College
 University of Oregon",2012*,Beaverton,1954
Oregon 2,"Walden, GregGreg Walden",,Republican,"Oregon House of Representatives, Oregon State Senate",University of Oregon,1999,Hood River,1957
Oregon 3,"Blumenauer, EarlEarl Blumenauer",,Democratic,"Oregon House of Representatives, Multnomah County Commissioner, Portland City Commissioner",Lewis & Clark College,1996*,Portland,1948
Oregon 4,"DeFazio, PeterPeter DeFazio",,Democratic,Lane County Commissioner,"Tufts University
 University of Oregon
 University of Notre Dame",1987,Springfield,1947
Oregon 5,"Schrader, KurtKurt Schrader",,Democratic,"Veterinarian, Oregon State Senate","Cornell University
 University of Illinois",2009,Canby,1951
Pennsylvania 1,"Brady, BobBob Brady",,Democratic,Congressional aide; Pennsylvania Turnpike Commission,St. Thomas More High School,1998*,Philadelphia,1945
Pennsylvania 2,"Evans, DwightDwight Evans",,Democratic,Pennsylvania House of Representatives,La Salle University,2016*,Philadelphia,1954
Pennsylvania 3,"Kelly, MikeMike Kelly",,Republican,businessman,University of Notre Dame,2011,Butler,1948
Pennsylvania 4,"Perry, ScottScott Perry",,Republican,Pennsylvania House of Representatives,Pennsylvania State University,2013,Harrisburg,1962
Pennsylvania 5,"Thompson, GlennGlenn Thompson",,Republican,Centre County Party Chairman,"Penn State University
 Temple University",2009,Oil City,1959
Pennsylvania 6,"Costello, RyanRyan Costello",,Republican,"Chester County Board of Commissioners, Chester County Recorder of Deeds","Ursinus College
 Villanova University School of Law",2015,West Chester,1976
Pennsylvania 7,"Meehan, PatPat Meehan",,Republican,"Delaware County District Attorney, U.S. Attorney for the Eastern District of Pennsylvania","Bowdoin College
 Temple Law School",2011,Drexel Hill,1955
Pennsylvania 8,"Fitzpatrick, BrianBrian Fitzpatrick",,Republican,FBI operative,"La Salle University
 Pennsylvania State University
 Dickinson School of Law",2017,Levittown,1973
Pennsylvania 9,"Shuster, BillBill Shuster",,Republican,Businessman,"Dickinson College
 American University",2001*,Altoona,1961
Pennsylvania 10,"Marino, TomTom Marino",,Republican,"Lycoming County District Attorney, U.S. Attorney for the Middle District of Pennsylvania","Lycoming College
 Dickinson School of Law",2011,Williamsport,1952
Pennsylvania 11,"Barletta, LouLou Barletta",,Republican,Mayor of Hazleton,"Luzerne County Community College
 Bloomsburg University of Pennsylvania",2011,Hazleton,1956
Pennsylvania 12,"Rothfus, KeithKeith Rothfus",,Republican,Attorney,"SUNY Buffalo
 University of Notre Dame",2013,Oakmont,1962
Pennsylvania 13,"Boyle, Brendan F.Brendan F. Boyle",,Democratic,Pennsylvania House of Representatives,"University of Notre Dame
 Harvard University",2015,Philadelphia,1977
Pennsylvania 14,"Doyle, MichaelMichael Doyle",,Democratic,State Senator Chief of Staff,Penn State University,1995,Pittsburgh,1953
Pennsylvania 15,"Dent, CharlieCharlie Dent",,Republican,"Pennsylvania State Senate, Pennsylvania House of Representatives","Penn State University
 Lehigh University",2005,Allentown,1960
Pennsylvania 16,"Smucker, LloydLloyd Smucker",,Republican,Pennsylvania Senate,"Lebanon Valley College, Franklin & Marshall College",2017,West Lampeter Township,1964
Pennsylvania 17,"Cartwright, MattMatt Cartwright",,Democratic,Attorney,"Hamilton College
 University of Pennsylvania Law School",2013,Moosic,1961
Pennsylvania 18,Vacant,,,,,,,
Rhode Island 1,"Cicilline, DavidDavid Cicilline",,Democratic,"Mayor of Providence, Rhode Island House of Representatives","Brown University
 Georgetown University Law Center",2011,Providence,1961
Rhode Island 2,"Langevin, JimJim Langevin",,Democratic,"Secretary of State of Rhode Island, Rhode Island House of Representatives","Rhode Island College
 Harvard University",2001,Warwick,1964
South Carolina 1,"Sanford, MarkMark Sanford",,Republican,"U.S. House (1995-2001), Governor of South Carolina","Furman University
 University of Virginia",2013*,Charleston,1960
South Carolina 2,"Wilson, JoeJoe Wilson",,Republican,South Carolina Senate,"Washington and Lee University
 University of South Carolina School of Law",2001*,"Columbia suburbs, West Columbia",1947
South Carolina 3,"Duncan, JeffJeff Duncan",,Republican,South Carolina House of Representatives,Clemson University,2011,Laurens,1966
South Carolina 4,"Gowdy, TreyTrey Gowdy",,Republican,7th Circuit Solicitor,"Baylor University
 University of South Carolina School of Law",2011,Greenville,1964
South Carolina 5,"Norman, RalphRalph Norman",,Republican,"Real estate developer, South Carolina House of Representatives",Presbyterian College,2017*,Rock Hill,1953
South Carolina 6,"Clyburn, JimJim Clyburn",,Democratic,"Political aide, teacher",South Carolina State University,1993,Columbia,1940
South Carolina 7,"Rice, TomTom Rice",,Republican,"Attorney, businessman, chairman of the Horry County Council",University of South Carolina,2013,Myrtle Beach,1957
South Dakota At Large,"Noem, KristiKristi Noem",,Republican,South Dakota House of Representatives,South Dakota State University,2011,Castlewood,1971
Tennessee 1,"Roe, PhilPhil Roe",,Republican,"OB/GYN, Mayor of Johnson City","Austin Peay State University
 University of Tennessee",2009,Johnson City,1945
Tennessee 2,"Duncan, JimmyJimmy Duncan",,Republican,state court judge,"University of Tennessee
 George Washington University",1988*,Knoxville,1947
Tennessee 3,"Fleischmann, ChuckChuck Fleischmann",,Republican,attorney,"University of Illinois
 University of Tennessee College of Law",2011,Ooltewah,1962
Tennessee 4,"DesJarlais, ScottScott DesJarlais",,Republican,Physician,"University of South Dakota
 University of South Dakota School of Medicine",2011,South Pittsburg,1964
Tennessee 5,"Cooper, JimJim Cooper",,Democratic,"U.S. House, college professor","University of North Carolina
 Oriel College
 Harvard Law School",2003,Nashville,1954
Tennessee 6,"Black, DianeDiane Black",,Republican,"Tennessee House of Representatives, Tennessee Senate",Belmont University,2011,Gallatin,1951
Tennessee 7,"Blackburn, MarshaMarsha Blackburn",,Republican,Tennessee Senate,Mississippi State University,2003,Brentwood,1952
Tennessee 8,"Kustoff, DavidDavid Kustoff",,Republican,Attorney for the United States District Court for the Western District of Tennessee,University of Memphis,2017,Memphis,1966
Tennessee 9,"Cohen, SteveSteve Cohen",,Democratic,"Tennessee Senate, Attorney","Vanderbilt University
 University of Memphis",2007,Memphis,1949
Texas 1,"Gohmert, LouieLouie Gohmert",,Republican,Texas appeals court judge,"Texas A&M University
 Baylor University",2005,Tyler,1953
Texas 2,"Poe, TedTed Poe",,Republican,Texas state district judge,"Abilene Christian University
 University of Houston Law Center",2005,Humble,1948
Texas 3,"Johnson, SamSam Johnson",,Republican,"Texas House of Representatives, Colonel United States Air Force",Southern Methodist University,1991*,Plano,1930
Texas 4,"Ratcliffe, JohnJohn Ratcliffe",,Republican,"Mayor of Heath, U.S. Attorney for Eastern District of Texas","University of Notre Dame
 Dedman School of Law",2015,Heath,1965
Texas 5,"Hensarling, JebJeb Hensarling",,Republican,energy executive,"Texas A&M University
 University of Texas at Austin",2003,Dallas,1957
Texas 6,"Barton, JoeJoe Barton",,Republican,oil industry consultant,"Texas A&M University
 Purdue University",1985,Arlington,1949
Texas 7,"Culberson, JohnJohn Culberson",,Republican,Texas House of Representatives,"Southern Methodist University
 South Texas College of Law",2001,Houston,1956
Texas 8,"Brady, KevinKevin Brady",,Republican,Texas House of Representatives,University of South Dakota,1997,The Wodlands,1955
Texas 9,"Green, AlAl Green",,Democratic,"Harris County Justice of the Peace, Houston NAACP president","Florida A&M University
 Tuskeegee Institute
 Texas Southern University",2005,Houston,1947
Texas 10,"McCaul, MichaelMichael McCaul",,Republican,"Attorney, federal prosecutor","Trinity University
 St. Mary's University
 Kennedy School of Government (attended)",2005,West Lake Hills,1962
Texas 11,"Conaway, MikeMike Conaway",,Republican,oil exploration executive,Texas A&M University–Commerce,2005,Midland,1948
Texas 12,"Granger, KayKay Granger",,Republican,Mayor of Fort Worth,Texas Wesleyan University,1997,Fort Worth,1943
Texas 13,"Thornberry, MacMac Thornberry",,Republican,"Rancher, attorney","Texas Tech University
 University of Texas Law School",1995,Clarendon,1958
Texas 14,"Weber, RandyRandy Weber",,Republican,"Texas House of Representatives, Pearland City Council",University of Houston–Clear Lake,2013,Alvin,1953
Texas 15,"González, VicenteVicente González",,Democratic,"food processing executive, Texas State Board of Education","University of Texas at Austin
 University of Texas-Pan American",2017,McAllen,1967
Texas 16,"O'Rourke, BetoBeto O'Rourke",,Democratic,El Paso City Councilman,Columbia University,2013,El Paso,1972
Texas 17,"Flores, BillBill Flores",,Republican,businessman,"Texas A&M University
 Houston Baptist University",2011,Bryan,1954
Texas 18,"Jackson Lee, SheilaSheila Jackson Lee",,Democratic,"Houston City Council, municipal judge","Yale University
 University of Virginia Law School",1995,Houston,1950
Texas 19,"Arrington, JodeyJodey Arrington",,Republican,"Educator, public administrator, White House aide","Texas Tech University
 McDonough School of Business",2017,Lubbock,1972
Texas 20,"Castro, JoaquínJoaquín Castro",,Democratic,Texas House of Representatives,"Stanford University
 Harvard Law School",2013,San Antonio,1974
Texas 21,"Smith, LamarLamar Smith",,Republican,"Bexar County Commissioner, Texas House of Representatives","Yale University
 Southern Methodist University School of Law",1987,San Antonio,1947
Texas 22,"Olson, PetePete Olson",,Republican,Congressional aide,"Rice University
 University of Texas at Austin",2009,Sugar Land,1962
Texas 23,"Hurd, WillWill Hurd",,Republican,"Corporate adviser, former CIA operative",Texas A&M University,2015,Helotes,1977
Texas 24,"Marchant, KennyKenny Marchant",,Republican,"Mayor of Carrolton, Texas House of Representatives",Southern Nazarene University,2005,Coppell,1951
Texas 25,"Williams, RogerRoger Williams",,Republican,Secretary of State of Texas,Texas Christian University,2013,Weatherford,1949
Texas 26,"Burgess, MichaelMichael Burgess",,Republican,Physician,"University of North Texas
 University of Texas Health Science Center at Houston",2003,Lewisville,1950
